Random Seed:  6694
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
{'Airplane': 0, 'Bag': 1, 'Cap': 2, 'Car': 3, 'Chair': 4, 'Earphone': 5, 'Guitar': 6, 'Knife': 7, 'Lamp': 8, 'Laptop': 9, 'Motorbike': 10, 'Mug': 11, 'Pistol': 12, 'Rocket': 13, 'Skateboard': 14, 'Table': 15}
{'Airplane': 4, 'Bag': 2, 'Cap': 2, 'Car': 4, 'Chair': 4, 'Earphone': 3, 'Guitar': 3, 'Knife': 2, 'Lamp': 4, 'Laptop': 2, 'Motorbike': 6, 'Mug': 2, 'Pistol': 3, 'Rocket': 3, 'Skateboard': 3, 'Table': 3} 4
12137 2874
classes 16
/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[0: 194/379] train loss: 0.340685 accuracy: 0.968750
[0: 195/379] train loss: 0.337300 accuracy: 0.906250
[0: 196/379] train loss: 0.614670 accuracy: 0.781250
[0: 197/379] train loss: 0.473395 accuracy: 0.906250
[0: 198/379] train loss: 0.380443 accuracy: 0.906250
[0: 199/379] train loss: 0.429019 accuracy: 0.906250
[0: 200/379] train loss: 0.781509 accuracy: 0.812500
[0: 200/379] [94mtest[39m loss: 0.103191 accuracy: 0.968750
[0: 201/379] train loss: 0.764297 accuracy: 0.812500
[0: 202/379] train loss: 0.785693 accuracy: 0.812500
[0: 203/379] train loss: 0.552120 accuracy: 0.812500
[0: 204/379] train loss: 0.453066 accuracy: 0.843750
[0: 205/379] train loss: 0.302863 accuracy: 0.968750
[0: 206/379] train loss: 0.660219 accuracy: 0.843750
[0: 207/379] train loss: 0.554141 accuracy: 0.875000
[0: 208/379] train loss: 0.554977 accuracy: 0.812500
[0: 209/379] train loss: 0.350707 accuracy: 0.906250
[0: 210/379] train loss: 0.529170 accuracy: 0.843750
[0: 210/379] [94mtest[39m loss: 0.384715 accuracy: 0.906250
[0: 211/379] train loss: 0.226916 accuracy: 0.937500
[0: 212/379] train loss: 0.245805 accuracy: 0.906250
[0: 213/379] train loss: 0.384265 accuracy: 0.875000
[0: 214/379] train loss: 0.241382 accuracy: 0.968750
[0: 215/379] train loss: 0.154342 accuracy: 0.968750
[0: 216/379] train loss: 0.317752 accuracy: 0.906250
[0: 217/379] train loss: 0.211876 accuracy: 0.968750
[0: 218/379] train loss: 0.242477 accuracy: 0.906250
[0: 219/379] train loss: 0.563501 accuracy: 0.875000
[0: 220/379] train loss: 0.302102 accuracy: 0.875000
[0: 220/379] [94mtest[39m loss: 0.119369 accuracy: 0.968750
[0: 221/379] train loss: 0.665330 accuracy: 0.843750
[0: 222/379] train loss: 0.440272 accuracy: 0.937500
[0: 223/379] train loss: 0.435781 accuracy: 0.875000
[0: 224/379] train loss: 0.498866 accuracy: 0.875000
[0: 225/379] train loss: 0.811577 accuracy: 0.781250
[0: 226/379] train loss: 0.398947 accuracy: 0.906250
[0: 227/379] train loss: 0.188210 accuracy: 0.937500
[0: 228/379] train loss: 0.460613 accuracy: 0.906250
[0: 229/379] train loss: 0.384221 accuracy: 0.875000
[0: 230/379] train loss: 0.679025 accuracy: 0.812500
[0: 230/379] [94mtest[39m loss: 0.388670 accuracy: 0.937500
[0: 231/379] train loss: 0.359355 accuracy: 0.937500
[0: 232/379] train loss: 0.133813 accuracy: 0.968750
[0: 233/379] train loss: 0.270284 accuracy: 0.937500
[0: 234/379] train loss: 1.007945 accuracy: 0.625000
[0: 235/379] train loss: 0.581470 accuracy: 0.812500
[0: 236/379] train loss: 0.516105 accuracy: 0.843750
[0: 237/379] train loss: 0.314722 accuracy: 0.968750
[0: 238/379] train loss: 0.280795 accuracy: 0.937500
[0: 239/379] train loss: 0.788760 accuracy: 0.656250
[0: 240/379] train loss: 0.341804 accuracy: 0.937500
[0: 240/379] [94mtest[39m loss: 0.254832 accuracy: 0.906250
[0: 241/379] train loss: 0.398745 accuracy: 0.875000
[0: 242/379] train loss: 0.440874 accuracy: 0.875000
[0: 243/379] train loss: 0.549152 accuracy: 0.843750
[0: 244/379] train loss: 0.220200 accuracy: 0.937500
[0: 245/379] train loss: 0.561938 accuracy: 0.812500
[0: 246/379] train loss: 0.370707 accuracy: 0.906250
[0: 247/379] train loss: 0.149717 accuracy: 0.937500
[0: 248/379] train loss: 0.465425 accuracy: 0.812500
[0: 249/379] train loss: 0.245802 accuracy: 0.906250
[0: 250/379] train loss: 0.346663 accuracy: 0.875000
[0: 250/379] [94mtest[39m loss: 0.687646 accuracy: 0.843750
[0: 251/379] train loss: 0.472055 accuracy: 0.812500
[0: 252/379] train loss: 0.479329 accuracy: 0.843750
[0: 253/379] train loss: 0.183924 accuracy: 0.968750
[0: 254/379] train loss: 0.422199 accuracy: 0.875000
[0: 255/379] train loss: 0.239122 accuracy: 0.937500
[0: 256/379] train loss: 0.339732 accuracy: 0.875000
[0: 257/379] train loss: 0.348214 accuracy: 0.906250
[0: 258/379] train loss: 0.294683 accuracy: 0.968750
[0: 259/379] train loss: 0.575443 accuracy: 0.812500
[0: 260/379] train loss: 0.544154 accuracy: 0.812500
[0: 260/379] [94mtest[39m loss: 0.552288 accuracy: 0.812500
[0: 261/379] train loss: 0.199060 accuracy: 0.937500
[0: 262/379] train loss: 0.301691 accuracy: 0.937500
[0: 263/379] train loss: 0.429829 accuracy: 0.812500
[0: 264/379] train loss: 0.533388 accuracy: 0.906250
[0: 265/379] train loss: 0.183700 accuracy: 0.968750
[0: 266/379] train loss: 0.241867 accuracy: 0.968750
[0: 267/379] train loss: 0.474215 accuracy: 0.843750
[0: 268/379] train loss: 0.174996 accuracy: 0.937500
[0: 269/379] train loss: 0.287418 accuracy: 0.937500
[0: 270/379] train loss: 0.412291 accuracy: 0.937500
[0: 270/379] [94mtest[39m loss: 0.219635 accuracy: 0.937500
[0: 271/379] train loss: 0.369701 accuracy: 0.906250
[0: 272/379] train loss: 0.403111 accuracy: 0.812500
[0: 273/379] train loss: 0.354067 accuracy: 0.906250
[0: 274/379] train loss: 0.550968 accuracy: 0.812500
[0: 275/379] train loss: 0.177719 accuracy: 0.937500
[0: 276/379] train loss: 0.263948 accuracy: 0.937500
[0: 277/379] train loss: 0.389429 accuracy: 0.875000
[0: 278/379] train loss: 0.370610 accuracy: 0.937500
[0: 279/379] train loss: 0.571532 accuracy: 0.906250
[0: 280/379] train loss: 0.210141 accuracy: 0.968750
[0: 280/379] [94mtest[39m loss: 0.220683 accuracy: 0.937500
[0: 281/379] train loss: 0.357629 accuracy: 0.937500
[0: 282/379] train loss: 0.418849 accuracy: 0.875000
[0: 283/379] train loss: 0.260577 accuracy: 0.937500
[0: 284/379] train loss: 0.233432 accuracy: 0.906250
[0: 285/379] train loss: 0.648191 accuracy: 0.843750
[0: 286/379] train loss: 0.351335 accuracy: 0.875000
[0: 287/379] train loss: 0.393921 accuracy: 0.906250
[0: 288/379] train loss: 0.264386 accuracy: 0.906250
[0: 289/379] train loss: 0.253852 accuracy: 0.906250
[0: 290/379] train loss: 0.191252 accuracy: 0.968750
[0: 290/379] [94mtest[39m loss: 0.487514 accuracy: 0.812500
[0: 291/379] train loss: 0.548294 accuracy: 0.843750
[0: 292/379] train loss: 0.287504 accuracy: 0.906250
[0: 293/379] train loss: 0.586009 accuracy: 0.781250
[0: 294/379] train loss: 0.297642 accuracy: 0.906250
[0: 295/379] train loss: 0.425051 accuracy: 0.937500
[0: 296/379] train loss: 0.559404 accuracy: 0.875000
[0: 297/379] train loss: 0.573324 accuracy: 0.875000
[0: 298/379] train loss: 0.399292 accuracy: 0.875000
[0: 299/379] train loss: 0.190194 accuracy: 0.968750
[0: 300/379] train loss: 0.141501 accuracy: 0.968750
[0: 300/379] [94mtest[39m loss: 0.318239 accuracy: 0.906250
[0: 301/379] train loss: 0.428237 accuracy: 0.937500
[0: 302/379] train loss: 0.391497 accuracy: 0.906250
[0: 303/379] train loss: 0.471654 accuracy: 0.875000
[0: 304/379] train loss: 0.406708 accuracy: 0.937500
[0: 305/379] train loss: 0.415231 accuracy: 0.906250
[0: 306/379] train loss: 0.639681 accuracy: 0.812500
[0: 307/379] train loss: 0.647778 accuracy: 0.843750
[0: 308/379] train loss: 0.291400 accuracy: 0.968750
[0: 309/379] train loss: 0.165946 accuracy: 0.968750
[0: 310/379] train loss: 0.408684 accuracy: 0.843750
[0: 310/379] [94mtest[39m loss: 0.569905 accuracy: 0.781250
[0: 311/379] train loss: 0.446635 accuracy: 0.843750
[0: 312/379] train loss: 0.315802 accuracy: 0.875000
[0: 313/379] train loss: 0.226792 accuracy: 0.968750
[0: 314/379] train loss: 0.231644 accuracy: 0.937500
[0: 315/379] train loss: 0.441772 accuracy: 0.843750
[0: 316/379] train loss: 0.424349 accuracy: 0.906250
[0: 317/379] train loss: 0.186536 accuracy: 0.968750
[0: 318/379] train loss: 0.096560 accuracy: 1.000000
[0: 319/379] train loss: 0.319234 accuracy: 0.875000
[0: 320/379] train loss: 0.245534 accuracy: 0.968750
[0: 320/379] [94mtest[39m loss: 0.133831 accuracy: 0.968750
[0: 321/379] train loss: 0.272972 accuracy: 0.968750
[0: 322/379] train loss: 0.197759 accuracy: 0.937500
[0: 323/379] train loss: 0.152852 accuracy: 0.937500
[0: 324/379] train loss: 0.301427 accuracy: 0.906250
[0: 325/379] train loss: 0.070092 accuracy: 1.000000
[0: 326/379] train loss: 0.273368 accuracy: 0.937500
[0: 327/379] train loss: 0.760466 accuracy: 0.812500
[0: 328/379] train loss: 0.405286 accuracy: 0.843750
[0: 329/379] train loss: 0.617271 accuracy: 0.843750
[0: 330/379] train loss: 0.287562 accuracy: 0.906250
[0: 330/379] [94mtest[39m loss: 0.415351 accuracy: 0.812500
[0: 331/379] train loss: 0.557221 accuracy: 0.843750
[0: 332/379] train loss: 0.621269 accuracy: 0.875000
[0: 333/379] train loss: 0.490243 accuracy: 0.906250
[0: 334/379] train loss: 0.349549 accuracy: 0.906250
[0: 335/379] train loss: 0.444268 accuracy: 0.875000
[0: 336/379] train loss: 0.336569 accuracy: 0.906250
[0: 337/379] train loss: 0.665972 accuracy: 0.812500
[0: 338/379] train loss: 0.137176 accuracy: 0.968750
[0: 339/379] train loss: 0.363822 accuracy: 0.937500
[0: 340/379] train loss: 0.522415 accuracy: 0.843750
[0: 340/379] [94mtest[39m loss: 0.524657 accuracy: 0.812500
[0: 341/379] train loss: 0.302628 accuracy: 0.875000
[0: 342/379] train loss: 0.187628 accuracy: 0.968750
[0: 343/379] train loss: 0.136028 accuracy: 0.937500
[0: 344/379] train loss: 0.397628 accuracy: 0.906250
[0: 345/379] train loss: 0.557648 accuracy: 0.843750
[0: 346/379] train loss: 0.166633 accuracy: 0.968750
[0: 347/379] train loss: 0.413263 accuracy: 0.843750
[0: 348/379] train loss: 0.213063 accuracy: 0.937500
[0: 349/379] train loss: 0.345568 accuracy: 0.875000
[0: 350/379] train loss: 0.240892 accuracy: 0.906250
[0: 350/379] [94mtest[39m loss: 0.360344 accuracy: 0.937500
[0: 351/379] train loss: 0.691762 accuracy: 0.781250
[0: 352/379] train loss: 0.280106 accuracy: 0.968750
[0: 353/379] train loss: 0.136535 accuracy: 1.000000
[0: 354/379] train loss: 0.302759 accuracy: 0.906250
[0: 355/379] train loss: 0.463224 accuracy: 0.906250
