/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
[0: 38/379] train loss: 1.196140 accuracy: 0.625000
[0: 39/379] train loss: 0.841051 accuracy: 0.687500
[0: 40/379] train loss: 0.960335 accuracy: 0.750000
[0: 40/379] [94mtest[39m loss: 1.056343 accuracy: 0.718750
[0: 41/379] train loss: 1.079367 accuracy: 0.687500
[0: 42/379] train loss: 0.888658 accuracy: 0.718750
[0: 43/379] train loss: 0.582967 accuracy: 0.843750
[0: 44/379] train loss: 0.409587 accuracy: 0.875000
[0: 45/379] train loss: 0.850735 accuracy: 0.781250
[0: 46/379] train loss: 0.961972 accuracy: 0.718750
[0: 47/379] train loss: 0.479795 accuracy: 0.875000
[0: 48/379] train loss: 0.647809 accuracy: 0.875000
[0: 49/379] train loss: 0.613943 accuracy: 0.843750
[0: 50/379] train loss: 1.047707 accuracy: 0.718750
[0: 50/379] [94mtest[39m loss: 1.222497 accuracy: 0.625000
[0: 51/379] train loss: 0.907981 accuracy: 0.687500
[0: 52/379] train loss: 0.780917 accuracy: 0.781250
[0: 53/379] train loss: 0.468458 accuracy: 0.906250
[0: 54/379] train loss: 0.706178 accuracy: 0.781250
[0: 55/379] train loss: 0.837810 accuracy: 0.781250
[0: 56/379] train loss: 1.157335 accuracy: 0.562500
[0: 57/379] train loss: 0.349016 accuracy: 0.906250
[0: 58/379] train loss: 0.654924 accuracy: 0.812500
[0: 59/379] train loss: 0.435861 accuracy: 0.875000
[0: 60/379] train loss: 0.735399 accuracy: 0.781250
[0: 60/379] [94mtest[39m loss: 0.608193 accuracy: 0.781250
[0: 61/379] train loss: 0.605164 accuracy: 0.687500
[0: 62/379] train loss: 0.665162 accuracy: 0.875000
[0: 63/379] train loss: 0.931880 accuracy: 0.687500
[0: 64/379] train loss: 0.501495 accuracy: 0.906250
[0: 65/379] train loss: 0.547189 accuracy: 0.812500
[0: 66/379] train loss: 0.603972 accuracy: 0.781250
[0: 67/379] train loss: 0.550135 accuracy: 0.781250
[0: 68/379] train loss: 0.848024 accuracy: 0.781250
[0: 69/379] train loss: 0.939938 accuracy: 0.781250
[0: 70/379] train loss: 0.500244 accuracy: 0.812500
[0: 70/379] [94mtest[39m loss: 0.678949 accuracy: 0.750000
[0: 71/379] train loss: 0.748453 accuracy: 0.781250
[0: 72/379] train loss: 0.597935 accuracy: 0.906250
[0: 73/379] train loss: 0.409180 accuracy: 0.875000
[0: 74/379] train loss: 0.680922 accuracy: 0.750000
[0: 75/379] train loss: 0.648492 accuracy: 0.812500
[0: 76/379] train loss: 0.655379 accuracy: 0.750000
[0: 77/379] train loss: 0.409576 accuracy: 0.875000
[0: 78/379] train loss: 0.606526 accuracy: 0.812500
[0: 79/379] train loss: 0.814674 accuracy: 0.656250
[0: 80/379] train loss: 0.869212 accuracy: 0.781250
[0: 80/379] [94mtest[39m loss: 0.681543 accuracy: 0.812500
[0: 81/379] train loss: 0.615385 accuracy: 0.812500
[0: 82/379] train loss: 0.647426 accuracy: 0.781250
[0: 83/379] train loss: 0.426847 accuracy: 0.875000
[0: 84/379] train loss: 0.487699 accuracy: 0.875000
[0: 85/379] train loss: 0.494878 accuracy: 0.812500
[0: 86/379] train loss: 0.802566 accuracy: 0.781250
[0: 87/379] train loss: 0.479012 accuracy: 0.812500
[0: 88/379] train loss: 0.610527 accuracy: 0.875000
[0: 89/379] train loss: 0.587804 accuracy: 0.875000
[0: 90/379] train loss: 0.621594 accuracy: 0.781250
[0: 90/379] [94mtest[39m loss: 0.296274 accuracy: 0.875000
[0: 91/379] train loss: 0.620173 accuracy: 0.781250
[0: 92/379] train loss: 0.692629 accuracy: 0.812500
[0: 93/379] train loss: 0.724555 accuracy: 0.812500
[0: 94/379] train loss: 0.400866 accuracy: 0.906250
[0: 95/379] train loss: 0.286151 accuracy: 0.937500
[0: 96/379] train loss: 0.492203 accuracy: 0.843750
[0: 97/379] train loss: 0.396933 accuracy: 0.937500
[0: 98/379] train loss: 0.583175 accuracy: 0.812500
[0: 99/379] train loss: 0.569529 accuracy: 0.812500
[0: 100/379] train loss: 0.677978 accuracy: 0.843750
[0: 100/379] [94mtest[39m loss: 0.402691 accuracy: 0.843750
[0: 101/379] train loss: 0.964325 accuracy: 0.656250
[0: 102/379] train loss: 0.495692 accuracy: 0.906250
[0: 103/379] train loss: 0.414083 accuracy: 0.875000
[0: 104/379] train loss: 0.433538 accuracy: 0.843750
[0: 105/379] train loss: 0.449433 accuracy: 0.843750
[0: 106/379] train loss: 0.635812 accuracy: 0.781250
[0: 107/379] train loss: 0.311682 accuracy: 0.937500
[0: 108/379] train loss: 1.151219 accuracy: 0.750000
[0: 109/379] train loss: 0.542881 accuracy: 0.843750
[0: 110/379] train loss: 0.743782 accuracy: 0.781250
[0: 110/379] [94mtest[39m loss: 0.535639 accuracy: 0.843750
[0: 111/379] train loss: 0.539298 accuracy: 0.843750
[0: 112/379] train loss: 0.362983 accuracy: 0.906250
[0: 113/379] train loss: 0.715333 accuracy: 0.843750
[0: 114/379] train loss: 0.647212 accuracy: 0.812500
[0: 115/379] train loss: 0.655105 accuracy: 0.812500
[0: 116/379] train loss: 0.619891 accuracy: 0.812500
[0: 117/379] train loss: 0.458419 accuracy: 0.906250
[0: 118/379] train loss: 0.672294 accuracy: 0.875000
[0: 119/379] train loss: 0.327483 accuracy: 0.875000
[0: 120/379] train loss: 0.539373 accuracy: 0.812500
[0: 120/379] [94mtest[39m loss: 0.271490 accuracy: 0.906250
[0: 121/379] train loss: 0.371121 accuracy: 0.937500
[0: 122/379] train loss: 0.675926 accuracy: 0.781250
[0: 123/379] train loss: 0.434440 accuracy: 0.812500
[0: 124/379] train loss: 0.780852 accuracy: 0.718750
[0: 125/379] train loss: 0.487767 accuracy: 0.843750
[0: 126/379] train loss: 0.782915 accuracy: 0.656250
[0: 127/379] train loss: 0.730274 accuracy: 0.750000
[0: 128/379] train loss: 0.585887 accuracy: 0.843750
[0: 129/379] train loss: 0.428680 accuracy: 0.875000
[0: 130/379] train loss: 0.413939 accuracy: 0.843750
[0: 130/379] [94mtest[39m loss: 0.318039 accuracy: 0.875000
[0: 131/379] train loss: 0.766965 accuracy: 0.781250
[0: 132/379] train loss: 0.518715 accuracy: 0.875000
[0: 133/379] train loss: 0.481775 accuracy: 0.843750
[0: 134/379] train loss: 0.405755 accuracy: 0.906250
[0: 135/379] train loss: 0.423917 accuracy: 0.843750
[0: 136/379] train loss: 0.498159 accuracy: 0.875000
[0: 137/379] train loss: 0.581323 accuracy: 0.812500
[0: 138/379] train loss: 0.547407 accuracy: 0.781250
[0: 139/379] train loss: 0.643041 accuracy: 0.781250
[0: 140/379] train loss: 0.440532 accuracy: 0.906250
[0: 140/379] [94mtest[39m loss: 0.216143 accuracy: 0.937500
[0: 141/379] train loss: 0.871464 accuracy: 0.781250
[0: 142/379] train loss: 0.615052 accuracy: 0.781250
[0: 143/379] train loss: 0.445670 accuracy: 0.875000
[0: 144/379] train loss: 0.656078 accuracy: 0.750000
[0: 145/379] train loss: 0.564197 accuracy: 0.812500
[0: 146/379] train loss: 0.565260 accuracy: 0.843750
[0: 147/379] train loss: 0.837075 accuracy: 0.781250
[0: 148/379] train loss: 0.299427 accuracy: 0.906250
[0: 149/379] train loss: 0.437534 accuracy: 0.937500
[0: 150/379] train loss: 0.503537 accuracy: 0.843750
[0: 150/379] [94mtest[39m loss: 0.581838 accuracy: 0.812500
[0: 151/379] train loss: 0.599599 accuracy: 0.781250
[0: 152/379] train loss: 0.351210 accuracy: 0.937500
[0: 153/379] train loss: 0.386626 accuracy: 0.906250
[0: 154/379] train loss: 0.242421 accuracy: 0.937500
[0: 155/379] train loss: 0.843046 accuracy: 0.718750
[0: 156/379] train loss: 0.431895 accuracy: 0.937500
[0: 157/379] train loss: 0.461225 accuracy: 0.875000
[0: 158/379] train loss: 0.689071 accuracy: 0.750000
[0: 159/379] train loss: 0.404217 accuracy: 0.906250
[0: 160/379] train loss: 0.372286 accuracy: 0.843750
[0: 160/379] [94mtest[39m loss: 0.443599 accuracy: 0.906250
[0: 161/379] train loss: 0.273883 accuracy: 0.968750
[0: 162/379] train loss: 0.485844 accuracy: 0.843750
[0: 163/379] train loss: 0.469244 accuracy: 0.875000
[0: 164/379] train loss: 0.672777 accuracy: 0.750000
[0: 165/379] train loss: 0.395919 accuracy: 0.875000
[0: 166/379] train loss: 0.497272 accuracy: 0.843750
[0: 167/379] train loss: 0.679478 accuracy: 0.750000
[0: 168/379] train loss: 0.286505 accuracy: 0.937500
[0: 169/379] train loss: 0.391815 accuracy: 0.937500
[0: 170/379] train loss: 0.669411 accuracy: 0.781250
[0: 170/379] [94mtest[39m loss: 0.402897 accuracy: 0.875000
[0: 171/379] train loss: 0.356138 accuracy: 0.875000
[0: 172/379] train loss: 0.251730 accuracy: 0.968750
[0: 173/379] train loss: 0.180837 accuracy: 0.906250
[0: 174/379] train loss: 0.563817 accuracy: 0.843750
[0: 175/379] train loss: 0.513278 accuracy: 0.812500
[0: 176/379] train loss: 0.835724 accuracy: 0.718750
[0: 177/379] train loss: 0.744348 accuracy: 0.812500
[0: 178/379] train loss: 0.549563 accuracy: 0.843750
[0: 179/379] train loss: 0.389101 accuracy: 0.906250
[0: 180/379] train loss: 0.451905 accuracy: 0.875000
[0: 180/379] [94mtest[39m loss: 0.457950 accuracy: 0.843750
[0: 181/379] train loss: 0.659690 accuracy: 0.875000
[0: 182/379] train loss: 0.832554 accuracy: 0.718750
[0: 183/379] train loss: 0.237409 accuracy: 0.968750
[0: 184/379] train loss: 0.394718 accuracy: 0.875000
[0: 185/379] train loss: 0.435959 accuracy: 0.843750
[0: 186/379] train loss: 0.335829 accuracy: 0.875000
[0: 187/379] train loss: 0.326521 accuracy: 0.906250
[0: 188/379] train loss: 0.303808 accuracy: 0.906250
[0: 189/379] train loss: 0.601590 accuracy: 0.781250
[0: 190/379] train loss: 0.661799 accuracy: 0.843750
[0: 190/379] [94mtest[39m loss: 0.335942 accuracy: 0.968750
[0: 191/379] train loss: 0.750219 accuracy: 0.781250
[0: 192/379] train loss: 0.358594 accuracy: 0.843750
[0: 193/379] train loss: 0.466855 accuracy: 0.843750
[0: 194/379] train loss: 0.677720 accuracy: 0.812500
[0: 195/379] train loss: 0.660799 accuracy: 0.781250
[0: 196/379] train loss: 0.558423 accuracy: 0.812500
[0: 197/379] train loss: 0.396506 accuracy: 0.875000
[0: 198/379] train loss: 0.420748 accuracy: 0.875000
[0: 199/379] train loss: 0.383706 accuracy: 0.875000
[0: 200/379] train loss: 0.667142 accuracy: 0.812500
[0: 200/379] [94mtest[39m loss: 0.318787 accuracy: 0.906250
[0: 201/379] train loss: 0.413012 accuracy: 0.937500
[0: 202/379] train loss: 0.387354 accuracy: 0.937500
[0: 203/379] train loss: 0.480939 accuracy: 0.875000
[0: 204/379] train loss: 0.856385 accuracy: 0.781250
[0: 205/379] train loss: 0.813705 accuracy: 0.781250
[0: 206/379] train loss: 0.444572 accuracy: 0.875000
[0: 207/379] train loss: 0.640678 accuracy: 0.843750
[0: 208/379] train loss: 0.634965 accuracy: 0.843750
[0: 209/379] train loss: 0.283064 accuracy: 0.937500
[0: 210/379] train loss: 0.543374 accuracy: 0.875000
[0: 210/379] [94mtest[39m loss: 0.539525 accuracy: 0.812500
[0: 211/379] train loss: 0.527789 accuracy: 0.812500
[0: 212/379] train loss: 0.358872 accuracy: 0.875000
[0: 213/379] train loss: 0.199583 accuracy: 1.000000
[0: 214/379] train loss: 0.589276 accuracy: 0.843750
[0: 215/379] train loss: 0.609423 accuracy: 0.843750
[0: 216/379] train loss: 0.525592 accuracy: 0.843750
[0: 217/379] train loss: 0.207480 accuracy: 0.937500
[0: 218/379] train loss: 0.210509 accuracy: 0.937500
[0: 219/379] train loss: 0.769150 accuracy: 0.750000
[0: 220/379] train loss: 0.349880 accuracy: 0.906250
[0: 220/379] [94mtest[39m loss: 0.381854 accuracy: 0.875000
[0: 221/379] train loss: 0.231286 accuracy: 0.968750
[0: 222/379] train loss: 0.664503 accuracy: 0.875000
[0: 223/379] train loss: 0.334647 accuracy: 0.937500
[0: 224/379] train loss: 0.312831 accuracy: 0.906250
[0: 225/379] train loss: 0.687350 accuracy: 0.843750
[0: 226/379] train loss: 1.311107 accuracy: 0.593750
[0: 227/379] train loss: 0.585410 accuracy: 0.812500
[0: 228/379] train loss: 0.308337 accuracy: 0.906250
[0: 229/379] train loss: 0.564249 accuracy: 0.843750
[0: 230/379] train loss: 0.781603 accuracy: 0.718750
[0: 230/379] [94mtest[39m loss: 0.203917 accuracy: 0.937500
[0: 231/379] train loss: 0.413735 accuracy: 0.906250
[0: 232/379] train loss: 0.343484 accuracy: 0.843750
[0: 233/379] train loss: 0.525358 accuracy: 0.843750
[0: 234/379] train loss: 1.227504 accuracy: 0.718750
[0: 235/379] train loss: 0.281893 accuracy: 0.968750
[0: 236/379] train loss: 0.519805 accuracy: 0.875000
[0: 237/379] train loss: 0.392151 accuracy: 0.906250
[0: 238/379] train loss: 0.299943 accuracy: 0.906250
[0: 239/379] train loss: 0.376943 accuracy: 0.906250
[0: 240/379] train loss: 0.229076 accuracy: 0.937500
[0: 240/379] [94mtest[39m loss: 0.393583 accuracy: 0.843750
[0: 241/379] train loss: 0.441197 accuracy: 0.906250
[0: 242/379] train loss: 0.318152 accuracy: 0.875000
[0: 243/379] train loss: 0.554738 accuracy: 0.812500
[0: 244/379] train loss: 0.431146 accuracy: 0.843750
[0: 245/379] train loss: 0.506751 accuracy: 0.875000
[0: 246/379] train loss: 0.645154 accuracy: 0.843750
[0: 247/379] train loss: 0.286323 accuracy: 0.875000
[0: 248/379] train loss: 0.436024 accuracy: 0.875000
[0: 249/379] train loss: 0.447972 accuracy: 0.812500
[0: 250/379] train loss: 0.518306 accuracy: 0.812500
[0: 250/379] [94mtest[39m loss: 0.380387 accuracy: 0.843750
[0: 251/379] train loss: 0.549566 accuracy: 0.843750
[0: 252/379] train loss: 0.666008 accuracy: 0.843750
[0: 253/379] train loss: 0.310868 accuracy: 0.875000
[0: 254/379] train loss: 0.238510 accuracy: 0.937500
[0: 255/379] train loss: 0.287720 accuracy: 0.937500
[0: 256/379] train loss: 0.629976 accuracy: 0.781250
[0: 257/379] train loss: 0.298991 accuracy: 0.906250
[0: 258/379] train loss: 0.422039 accuracy: 0.812500
[0: 259/379] train loss: 0.359386 accuracy: 0.843750
[0: 260/379] train loss: 0.603661 accuracy: 0.781250
[0: 260/379] [94mtest[39m loss: 0.287913 accuracy: 0.968750
[0: 261/379] train loss: 0.653997 accuracy: 0.812500
[0: 262/379] train loss: 0.478410 accuracy: 0.875000
[0: 263/379] train loss: 0.837267 accuracy: 0.750000
[0: 264/379] train loss: 0.432234 accuracy: 0.875000
[0: 265/379] train loss: 0.354106 accuracy: 0.875000
[0: 266/379] train loss: 0.240727 accuracy: 0.906250
[0: 267/379] train loss: 0.570457 accuracy: 0.843750
[0: 268/379] train loss: 0.373120 accuracy: 0.875000
[0: 269/379] train loss: 0.334541 accuracy: 0.843750
[0: 270/379] train loss: 0.367789 accuracy: 0.875000
[0: 270/379] [94mtest[39m loss: 0.351480 accuracy: 0.875000
[0: 271/379] train loss: 0.162125 accuracy: 0.968750
[0: 272/379] train loss: 0.390683 accuracy: 0.875000
[0: 273/379] train loss: 0.211320 accuracy: 0.937500
[0: 274/379] train loss: 0.780600 accuracy: 0.718750
[0: 275/379] train loss: 0.614675 accuracy: 0.812500
[0: 276/379] train loss: 0.387607 accuracy: 0.906250
[0: 277/379] train loss: 0.186613 accuracy: 0.937500
[0: 278/379] train loss: 0.314272 accuracy: 0.906250
[0: 279/379] train loss: 0.407054 accuracy: 0.843750
[0: 280/379] train loss: 0.133561 accuracy: 0.968750
[0: 280/379] [94mtest[39m loss: 0.244141 accuracy: 0.937500
[0: 281/379] train loss: 0.453810 accuracy: 0.875000
[0: 282/379] train loss: 0.739556 accuracy: 0.750000
[0: 283/379] train loss: 0.417227 accuracy: 0.843750
[0: 284/379] train loss: 0.555871 accuracy: 0.843750
[0: 285/379] train loss: 0.389040 accuracy: 0.843750
[0: 286/379] train loss: 0.378894 accuracy: 0.906250
[0: 287/379] train loss: 0.454011 accuracy: 0.812500
[0: 288/379] train loss: 0.387636 accuracy: 0.937500
[0: 289/379] train loss: 0.644630 accuracy: 0.812500
[0: 290/379] train loss: 0.312114 accuracy: 0.875000
[0: 290/379] [94mtest[39m loss: 0.333781 accuracy: 0.843750
[0: 291/379] train loss: 0.269199 accuracy: 0.875000
[0: 292/379] train loss: 0.404386 accuracy: 0.812500
[0: 293/379] train loss: 0.392965 accuracy: 0.843750
[0: 294/379] train loss: 0.251415 accuracy: 0.906250
[0: 295/379] train loss: 0.661199 accuracy: 0.812500
[0: 296/379] train loss: 0.348166 accuracy: 0.875000
[0: 297/379] train loss: 0.508352 accuracy: 0.781250
[0: 298/379] train loss: 0.287068 accuracy: 0.937500
[0: 299/379] train loss: 0.328710 accuracy: 0.906250
[0: 300/379] train loss: 0.319408 accuracy: 0.937500
[0: 300/379] [94mtest[39m loss: 0.468707 accuracy: 0.812500
[0: 301/379] train loss: 0.435118 accuracy: 0.875000
[0: 302/379] train loss: 0.376205 accuracy: 0.906250
[0: 303/379] train loss: 0.164293 accuracy: 0.968750
[0: 304/379] train loss: 0.211077 accuracy: 0.937500
[0: 305/379] train loss: 0.279340 accuracy: 0.906250
[0: 306/379] train loss: 0.452912 accuracy: 0.875000
[0: 307/379] train loss: 0.279117 accuracy: 0.875000
[0: 308/379] train loss: 0.501301 accuracy: 0.875000
[0: 309/379] train loss: 0.407233 accuracy: 0.875000
[0: 310/379] train loss: 0.244596 accuracy: 0.906250
[0: 310/379] [94mtest[39m loss: 0.159645 accuracy: 0.937500
[0: 311/379] train loss: 0.351403 accuracy: 0.875000
[0: 312/379] train loss: 0.267516 accuracy: 0.968750
[0: 313/379] train loss: 0.477315 accuracy: 0.843750
[0: 314/379] train loss: 0.232143 accuracy: 0.906250
[0: 315/379] train loss: 0.296661 accuracy: 0.906250
[0: 316/379] train loss: 0.170913 accuracy: 0.968750
[0: 317/379] train loss: 0.320888 accuracy: 0.906250
[0: 318/379] train loss: 0.178552 accuracy: 0.937500
[0: 319/379] train loss: 0.383533 accuracy: 0.937500
[0: 320/379] train loss: 0.323495 accuracy: 0.875000
[0: 320/379] [94mtest[39m loss: 0.888310 accuracy: 0.718750
[0: 321/379] train loss: 0.504940 accuracy: 0.906250
[0: 322/379] train loss: 0.278350 accuracy: 0.937500
[0: 323/379] train loss: 0.233801 accuracy: 0.906250
[0: 324/379] train loss: 0.191629 accuracy: 0.968750
[0: 325/379] train loss: 0.199024 accuracy: 0.968750
[0: 326/379] train loss: 0.237748 accuracy: 0.906250
[0: 327/379] train loss: 0.561883 accuracy: 0.812500
[0: 328/379] train loss: 0.393374 accuracy: 0.875000
[0: 329/379] train loss: 0.499636 accuracy: 0.906250
[0: 330/379] train loss: 0.439190 accuracy: 0.906250
[0: 330/379] [94mtest[39m loss: 0.443284 accuracy: 0.906250
[0: 331/379] train loss: 0.321700 accuracy: 0.875000
[0: 332/379] train loss: 0.320499 accuracy: 0.937500
[0: 333/379] train loss: 0.543736 accuracy: 0.812500
[0: 334/379] train loss: 0.366372 accuracy: 0.906250
[0: 335/379] train loss: 0.565891 accuracy: 0.812500
[0: 336/379] train loss: 0.726526 accuracy: 0.781250
[0: 337/379] train loss: 0.386368 accuracy: 0.968750
[0: 338/379] train loss: 0.076134 accuracy: 1.000000
[0: 339/379] train loss: 0.484494 accuracy: 0.906250
[0: 340/379] train loss: 0.445724 accuracy: 0.843750
[0: 340/379] [94mtest[39m loss: 0.420430 accuracy: 0.906250
[0: 341/379] train loss: 0.513408 accuracy: 0.843750
[0: 342/379] train loss: 0.536028 accuracy: 0.875000
[0: 343/379] train loss: 0.358814 accuracy: 0.875000
[0: 344/379] train loss: 0.478866 accuracy: 0.843750
[0: 345/379] train loss: 0.235589 accuracy: 0.906250
[0: 346/379] train loss: 0.247511 accuracy: 0.875000
[0: 347/379] train loss: 0.443844 accuracy: 0.875000
[0: 348/379] train loss: 0.496825 accuracy: 0.875000
[0: 349/379] train loss: 0.550154 accuracy: 0.843750
[0: 350/379] train loss: 0.354825 accuracy: 0.906250
[0: 350/379] [94mtest[39m loss: 0.271996 accuracy: 0.906250
[0: 351/379] train loss: 0.158764 accuracy: 0.937500
[0: 352/379] train loss: 0.322926 accuracy: 0.875000
[0: 353/379] train loss: 0.202056 accuracy: 0.937500
[0: 354/379] train loss: 0.572607 accuracy: 0.843750
[0: 355/379] train loss: 0.115874 accuracy: 0.968750
[0: 356/379] train loss: 0.497066 accuracy: 0.843750
[0: 357/379] train loss: 1.107156 accuracy: 0.812500
[0: 358/379] train loss: 0.113056 accuracy: 0.968750
[0: 359/379] train loss: 0.520288 accuracy: 0.843750
[0: 360/379] train loss: 0.416596 accuracy: 0.843750
[0: 360/379] [94mtest[39m loss: 0.174971 accuracy: 0.968750
[0: 361/379] train loss: 0.866470 accuracy: 0.781250
[0: 362/379] train loss: 0.677879 accuracy: 0.812500
[0: 363/379] train loss: 0.854626 accuracy: 0.781250
[0: 364/379] train loss: 0.414573 accuracy: 0.843750
[0: 365/379] train loss: 0.416479 accuracy: 0.875000
[0: 366/379] train loss: 0.497583 accuracy: 0.812500
[0: 367/379] train loss: 0.196246 accuracy: 0.937500
[0: 368/379] train loss: 0.365356 accuracy: 0.906250
[0: 369/379] train loss: 0.402147 accuracy: 0.906250
[0: 370/379] train loss: 0.387647 accuracy: 0.906250
[0: 370/379] [94mtest[39m loss: 0.323853 accuracy: 0.937500
[0: 371/379] train loss: 0.247554 accuracy: 0.906250
[0: 372/379] train loss: 0.364845 accuracy: 0.843750
[0: 373/379] train loss: 0.352914 accuracy: 0.875000
[0: 374/379] train loss: 0.353539 accuracy: 0.843750
[0: 375/379] train loss: 0.214251 accuracy: 0.937500
[0: 376/379] train loss: 0.524076 accuracy: 0.906250
[0: 377/379] train loss: 0.337768 accuracy: 0.843750
[0: 378/379] train loss: 0.305910 accuracy: 0.906250
[0: 379/379] train loss: 0.220168 accuracy: 0.281250
[1: 0/379] train loss: 0.405442 accuracy: 0.875000
[1: 0/379] [94mtest[39m loss: 0.460308 accuracy: 0.843750
[1: 1/379] train loss: 0.235835 accuracy: 0.937500
[1: 2/379] train loss: 0.275905 accuracy: 0.937500
[1: 3/379] train loss: 0.158695 accuracy: 0.968750
[1: 4/379] train loss: 0.307038 accuracy: 0.875000
[1: 5/379] train loss: 0.189030 accuracy: 0.968750
[1: 6/379] train loss: 0.503642 accuracy: 0.937500
[1: 7/379] train loss: 0.420628 accuracy: 0.875000
[1: 8/379] train loss: 0.308790 accuracy: 0.937500
[1: 9/379] train loss: 0.158273 accuracy: 0.937500
[1: 10/379] train loss: 0.210233 accuracy: 0.968750
[1: 10/379] [94mtest[39m loss: 0.116440 accuracy: 1.000000
[1: 11/379] train loss: 0.436249 accuracy: 0.875000
[1: 12/379] train loss: 0.709399 accuracy: 0.781250
[1: 13/379] train loss: 0.121884 accuracy: 0.968750
[1: 14/379] train loss: 0.104258 accuracy: 0.968750
[1: 15/379] train loss: 0.266790 accuracy: 0.937500
[1: 16/379] train loss: 0.672194 accuracy: 0.812500
[1: 17/379] train loss: 0.194401 accuracy: 0.906250
[1: 18/379] train loss: 0.100294 accuracy: 1.000000
[1: 19/379] train loss: 0.328053 accuracy: 0.843750
[1: 20/379] train loss: 0.390428 accuracy: 0.843750
[1: 20/379] [94mtest[39m loss: 0.169136 accuracy: 0.968750
[1: 21/379] train loss: 0.394098 accuracy: 0.875000
[1: 22/379] train loss: 0.526057 accuracy: 0.875000
[1: 23/379] train loss: 0.169898 accuracy: 0.968750
[1: 24/379] train loss: 0.504409 accuracy: 0.843750
[1: 25/379] train loss: 0.328811 accuracy: 0.906250
[1: 26/379] train loss: 0.102341 accuracy: 1.000000
[1: 27/379] train loss: 0.456226 accuracy: 0.843750
[1: 28/379] train loss: 0.315059 accuracy: 0.906250
[1: 29/379] train loss: 0.241141 accuracy: 0.968750
[1: 30/379] train loss: 0.128256 accuracy: 0.937500
[1: 30/379] [94mtest[39m loss: 0.268564 accuracy: 0.906250
[1: 31/379] train loss: 0.231314 accuracy: 0.875000
[1: 32/379] train loss: 0.272588 accuracy: 0.906250
[1: 33/379] train loss: 0.281755 accuracy: 0.937500
[1: 34/379] train loss: 0.243700 accuracy: 0.906250
