/home/haoran/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
[0: 49/379] train loss: 0.735279 accuracy: 0.843750
[0: 50/379] train loss: 0.638704 accuracy: 0.812500
[0: 50/379] [94mtest[39m loss: 0.894334 accuracy: 0.656250
[0: 51/379] train loss: 0.896335 accuracy: 0.750000
[0: 52/379] train loss: 1.047120 accuracy: 0.718750
[0: 53/379] train loss: 0.627419 accuracy: 0.781250
[0: 54/379] train loss: 0.718681 accuracy: 0.812500
[0: 55/379] train loss: 0.796599 accuracy: 0.843750
[0: 56/379] train loss: 0.545083 accuracy: 0.812500
[0: 57/379] train loss: 0.738948 accuracy: 0.812500
[0: 58/379] train loss: 0.902121 accuracy: 0.687500
[0: 59/379] train loss: 0.858529 accuracy: 0.781250
[0: 60/379] train loss: 0.407607 accuracy: 0.906250
[0: 60/379] [94mtest[39m loss: 0.546966 accuracy: 0.718750
[0: 61/379] train loss: 0.828400 accuracy: 0.750000
[0: 62/379] train loss: 0.894079 accuracy: 0.781250
[0: 63/379] train loss: 0.808545 accuracy: 0.781250
[0: 64/379] train loss: 0.703007 accuracy: 0.812500
[0: 65/379] train loss: 0.514065 accuracy: 0.843750
[0: 66/379] train loss: 0.593620 accuracy: 0.781250
[0: 67/379] train loss: 0.768269 accuracy: 0.781250
[0: 68/379] train loss: 0.657787 accuracy: 0.875000
[0: 69/379] train loss: 0.479610 accuracy: 0.843750
[0: 70/379] train loss: 0.951653 accuracy: 0.750000
[0: 70/379] [94mtest[39m loss: 0.451517 accuracy: 0.875000
[0: 71/379] train loss: 0.509315 accuracy: 0.812500
[0: 72/379] train loss: 0.317931 accuracy: 0.968750
[0: 73/379] train loss: 0.999756 accuracy: 0.781250
[0: 74/379] train loss: 0.599527 accuracy: 0.843750
[0: 75/379] train loss: 0.805067 accuracy: 0.812500
[0: 76/379] train loss: 0.604908 accuracy: 0.906250
[0: 77/379] train loss: 0.584526 accuracy: 0.843750
[0: 78/379] train loss: 0.664689 accuracy: 0.781250
[0: 79/379] train loss: 0.874304 accuracy: 0.718750
[0: 80/379] train loss: 0.549066 accuracy: 0.843750
[0: 80/379] [94mtest[39m loss: 0.243167 accuracy: 0.937500
[0: 81/379] train loss: 0.626364 accuracy: 0.812500
[0: 82/379] train loss: 0.436453 accuracy: 0.906250
[0: 83/379] train loss: 0.533293 accuracy: 0.937500
[0: 84/379] train loss: 0.606834 accuracy: 0.843750
[0: 85/379] train loss: 0.760850 accuracy: 0.812500
[0: 86/379] train loss: 0.740037 accuracy: 0.875000
[0: 87/379] train loss: 0.810350 accuracy: 0.812500
[0: 88/379] train loss: 0.797796 accuracy: 0.750000
[0: 89/379] train loss: 0.758199 accuracy: 0.812500
[0: 90/379] train loss: 0.620504 accuracy: 0.812500
[0: 90/379] [94mtest[39m loss: 0.406173 accuracy: 0.875000
[0: 91/379] train loss: 0.559941 accuracy: 0.875000
[0: 92/379] train loss: 0.737510 accuracy: 0.718750
[0: 93/379] train loss: 0.372429 accuracy: 0.937500
[0: 94/379] train loss: 0.951239 accuracy: 0.781250
[0: 95/379] train loss: 0.810232 accuracy: 0.750000
[0: 96/379] train loss: 0.731569 accuracy: 0.812500
[0: 97/379] train loss: 0.737402 accuracy: 0.781250
[0: 98/379] train loss: 0.554395 accuracy: 0.875000
[0: 99/379] train loss: 0.567536 accuracy: 0.843750
[0: 100/379] train loss: 1.010923 accuracy: 0.750000
[0: 100/379] [94mtest[39m loss: 0.577566 accuracy: 0.843750
[0: 101/379] train loss: 0.566269 accuracy: 0.906250
[0: 102/379] train loss: 0.576996 accuracy: 0.875000
[0: 103/379] train loss: 0.513192 accuracy: 0.843750
[0: 104/379] train loss: 0.367622 accuracy: 0.875000
[0: 105/379] train loss: 0.611971 accuracy: 0.812500
[0: 106/379] train loss: 0.449190 accuracy: 0.875000
[0: 107/379] train loss: 0.741456 accuracy: 0.750000
[0: 108/379] train loss: 0.597415 accuracy: 0.875000
[0: 109/379] train loss: 0.555877 accuracy: 0.875000
[0: 110/379] train loss: 0.473020 accuracy: 0.875000
[0: 110/379] [94mtest[39m loss: 0.354934 accuracy: 0.906250
[0: 111/379] train loss: 0.703117 accuracy: 0.718750
[0: 112/379] train loss: 0.552818 accuracy: 0.843750
[0: 113/379] train loss: 0.295814 accuracy: 0.968750
[0: 114/379] train loss: 0.575895 accuracy: 0.812500
[0: 115/379] train loss: 0.458457 accuracy: 0.812500
[0: 116/379] train loss: 0.917020 accuracy: 0.750000
[0: 117/379] train loss: 0.331278 accuracy: 0.906250
[0: 118/379] train loss: 0.608543 accuracy: 0.812500
[0: 119/379] train loss: 0.453573 accuracy: 0.875000
[0: 120/379] train loss: 0.360714 accuracy: 0.875000
[0: 120/379] [94mtest[39m loss: 0.416422 accuracy: 0.843750
[0: 121/379] train loss: 0.769372 accuracy: 0.750000
[0: 122/379] train loss: 0.306551 accuracy: 0.906250
[0: 123/379] train loss: 0.343663 accuracy: 0.937500
[0: 124/379] train loss: 0.570287 accuracy: 0.781250
[0: 125/379] train loss: 0.498279 accuracy: 0.812500
[0: 126/379] train loss: 0.379236 accuracy: 0.906250
[0: 127/379] train loss: 0.280617 accuracy: 0.937500
[0: 128/379] train loss: 0.421616 accuracy: 0.906250
[0: 129/379] train loss: 0.473519 accuracy: 0.781250
[0: 130/379] train loss: 0.472706 accuracy: 0.906250
[0: 130/379] [94mtest[39m loss: 0.295678 accuracy: 0.906250
[0: 131/379] train loss: 0.434332 accuracy: 0.875000
[0: 132/379] train loss: 0.409168 accuracy: 0.875000
[0: 133/379] train loss: 0.483599 accuracy: 0.843750
[0: 134/379] train loss: 0.343543 accuracy: 0.843750
[0: 135/379] train loss: 1.012545 accuracy: 0.625000
[0: 136/379] train loss: 0.536223 accuracy: 0.906250
[0: 137/379] train loss: 0.503710 accuracy: 0.843750
[0: 138/379] train loss: 0.604969 accuracy: 0.875000
[0: 139/379] train loss: 0.467711 accuracy: 0.875000
[0: 140/379] train loss: 0.607367 accuracy: 0.843750
[0: 140/379] [94mtest[39m loss: 0.570887 accuracy: 0.843750
[0: 141/379] train loss: 0.615289 accuracy: 0.906250
[0: 142/379] train loss: 0.626110 accuracy: 0.750000
[0: 143/379] train loss: 0.280626 accuracy: 0.906250
[0: 144/379] train loss: 0.879849 accuracy: 0.718750
[0: 145/379] train loss: 0.697473 accuracy: 0.812500
[0: 146/379] train loss: 0.859243 accuracy: 0.750000
[0: 147/379] train loss: 0.969950 accuracy: 0.687500
[0: 148/379] train loss: 0.294180 accuracy: 0.937500
[0: 149/379] train loss: 0.613325 accuracy: 0.812500
[0: 150/379] train loss: 0.514682 accuracy: 0.812500
[0: 150/379] [94mtest[39m loss: 0.199667 accuracy: 0.937500
[0: 151/379] train loss: 0.568629 accuracy: 0.812500
[0: 152/379] train loss: 0.281637 accuracy: 0.906250
[0: 153/379] train loss: 0.360598 accuracy: 0.937500
[0: 154/379] train loss: 0.437302 accuracy: 0.875000
[0: 155/379] train loss: 0.511664 accuracy: 0.875000
[0: 156/379] train loss: 0.919921 accuracy: 0.750000
[0: 157/379] train loss: 0.686979 accuracy: 0.718750
[0: 158/379] train loss: 0.396246 accuracy: 0.937500
[0: 159/379] train loss: 0.981707 accuracy: 0.750000
[0: 160/379] train loss: 0.401702 accuracy: 0.875000
[0: 160/379] [94mtest[39m loss: 0.451475 accuracy: 0.843750
[0: 161/379] train loss: 0.488338 accuracy: 0.906250
[0: 162/379] train loss: 0.854021 accuracy: 0.718750
[0: 163/379] train loss: 0.488422 accuracy: 0.812500
[0: 164/379] train loss: 0.269468 accuracy: 0.906250
[0: 165/379] train loss: 0.943407 accuracy: 0.656250
[0: 166/379] train loss: 0.221279 accuracy: 0.968750
[0: 167/379] train loss: 0.384011 accuracy: 0.906250
[0: 168/379] train loss: 0.424399 accuracy: 0.875000
[0: 169/379] train loss: 0.472273 accuracy: 0.781250
[0: 170/379] train loss: 0.726024 accuracy: 0.812500
[0: 170/379] [94mtest[39m loss: 0.400037 accuracy: 0.875000
[0: 171/379] train loss: 0.655529 accuracy: 0.812500
[0: 172/379] train loss: 0.444231 accuracy: 0.906250
[0: 173/379] train loss: 0.676347 accuracy: 0.812500
[0: 174/379] train loss: 0.554502 accuracy: 0.843750
[0: 175/379] train loss: 0.489970 accuracy: 0.781250
[0: 176/379] train loss: 0.470396 accuracy: 0.906250
[0: 177/379] train loss: 0.605195 accuracy: 0.843750
[0: 178/379] train loss: 0.301696 accuracy: 0.906250
[0: 179/379] train loss: 0.702217 accuracy: 0.750000
[0: 180/379] train loss: 0.557084 accuracy: 0.843750
[0: 180/379] [94mtest[39m loss: 0.443311 accuracy: 0.875000
[0: 181/379] train loss: 0.425497 accuracy: 0.906250
[0: 182/379] train loss: 0.604648 accuracy: 0.875000
[0: 183/379] train loss: 0.507678 accuracy: 0.781250
[0: 184/379] train loss: 0.511521 accuracy: 0.906250
[0: 185/379] train loss: 0.394213 accuracy: 0.906250
[0: 186/379] train loss: 0.528232 accuracy: 0.875000
[0: 187/379] train loss: 0.799225 accuracy: 0.718750
[0: 188/379] train loss: 0.320166 accuracy: 0.875000
[0: 189/379] train loss: 0.437104 accuracy: 0.875000
[0: 190/379] train loss: 0.649038 accuracy: 0.781250
[0: 190/379] [94mtest[39m loss: 0.638010 accuracy: 0.812500
[0: 191/379] train loss: 0.867469 accuracy: 0.718750
[0: 192/379] train loss: 0.604890 accuracy: 0.812500
[0: 193/379] train loss: 0.392619 accuracy: 0.875000
[0: 194/379] train loss: 0.418368 accuracy: 0.875000
[0: 195/379] train loss: 0.221310 accuracy: 0.937500
[0: 196/379] train loss: 0.599488 accuracy: 0.812500
[0: 197/379] train loss: 0.358355 accuracy: 0.875000
[0: 198/379] train loss: 0.301036 accuracy: 0.906250
[0: 199/379] train loss: 0.593318 accuracy: 0.875000
[0: 200/379] train loss: 0.602663 accuracy: 0.781250
[0: 200/379] [94mtest[39m loss: 0.123836 accuracy: 1.000000
[0: 201/379] train loss: 0.408221 accuracy: 0.812500
[0: 202/379] train loss: 0.312590 accuracy: 0.906250
[0: 203/379] train loss: 1.183926 accuracy: 0.750000
[0: 204/379] train loss: 0.377880 accuracy: 0.937500
[0: 205/379] train loss: 0.612060 accuracy: 0.843750
[0: 206/379] train loss: 0.436720 accuracy: 0.875000
[0: 207/379] train loss: 0.735670 accuracy: 0.781250
[0: 208/379] train loss: 0.363880 accuracy: 0.906250
[0: 209/379] train loss: 0.303765 accuracy: 0.968750
[0: 210/379] train loss: 0.344578 accuracy: 0.906250
[0: 210/379] [94mtest[39m loss: 0.293110 accuracy: 0.937500
[0: 211/379] train loss: 0.505867 accuracy: 0.875000
[0: 212/379] train loss: 0.615104 accuracy: 0.875000
[0: 213/379] train loss: 0.415152 accuracy: 0.843750
[0: 214/379] train loss: 0.704818 accuracy: 0.718750
[0: 215/379] train loss: 0.405823 accuracy: 0.937500
[0: 216/379] train loss: 0.912216 accuracy: 0.750000
[0: 217/379] train loss: 0.915760 accuracy: 0.750000
[0: 218/379] train loss: 0.409346 accuracy: 0.875000
[0: 219/379] train loss: 0.258892 accuracy: 0.937500
[0: 220/379] train loss: 0.322357 accuracy: 0.843750
[0: 220/379] [94mtest[39m loss: 0.340845 accuracy: 0.906250
[0: 221/379] train loss: 0.284037 accuracy: 0.937500
[0: 222/379] train loss: 0.426571 accuracy: 0.906250
[0: 223/379] train loss: 0.286957 accuracy: 0.937500
[0: 224/379] train loss: 0.296020 accuracy: 0.937500
[0: 225/379] train loss: 0.465351 accuracy: 0.875000
[0: 226/379] train loss: 0.581795 accuracy: 0.812500
[0: 227/379] train loss: 0.350526 accuracy: 0.812500
[0: 228/379] train loss: 0.283128 accuracy: 0.937500
[0: 229/379] train loss: 0.509037 accuracy: 0.875000
[0: 230/379] train loss: 0.497193 accuracy: 0.875000
[0: 230/379] [94mtest[39m loss: 0.274582 accuracy: 0.906250
[0: 231/379] train loss: 0.281443 accuracy: 0.875000
[0: 232/379] train loss: 0.141282 accuracy: 1.000000
[0: 233/379] train loss: 0.439433 accuracy: 0.812500
[0: 234/379] train loss: 0.740431 accuracy: 0.812500
[0: 235/379] train loss: 0.206193 accuracy: 0.968750
[0: 236/379] train loss: 0.544572 accuracy: 0.843750
[0: 237/379] train loss: 0.943114 accuracy: 0.718750
[0: 238/379] train loss: 0.329967 accuracy: 0.843750
[0: 239/379] train loss: 0.471984 accuracy: 0.843750
[0: 240/379] train loss: 0.325988 accuracy: 0.937500
[0: 240/379] [94mtest[39m loss: 0.100456 accuracy: 0.968750
[0: 241/379] train loss: 0.397595 accuracy: 0.906250
[0: 242/379] train loss: 0.351533 accuracy: 0.843750
[0: 243/379] train loss: 0.293255 accuracy: 0.875000
[0: 244/379] train loss: 0.420864 accuracy: 0.906250
[0: 245/379] train loss: 0.476446 accuracy: 0.875000
[0: 246/379] train loss: 0.681466 accuracy: 0.781250
[0: 247/379] train loss: 0.095092 accuracy: 1.000000
[0: 248/379] train loss: 0.382024 accuracy: 0.875000
[0: 249/379] train loss: 0.424792 accuracy: 0.937500
[0: 250/379] train loss: 0.515495 accuracy: 0.875000
[0: 250/379] [94mtest[39m loss: 0.565914 accuracy: 0.812500
[0: 251/379] train loss: 0.717419 accuracy: 0.812500
[0: 252/379] train loss: 0.518611 accuracy: 0.812500
[0: 253/379] train loss: 0.432624 accuracy: 0.937500
[0: 254/379] train loss: 0.547153 accuracy: 0.843750
[0: 255/379] train loss: 0.327268 accuracy: 0.875000
[0: 256/379] train loss: 0.292033 accuracy: 0.812500
[0: 257/379] train loss: 0.916698 accuracy: 0.718750
[0: 258/379] train loss: 0.313478 accuracy: 0.906250
[0: 259/379] train loss: 0.300568 accuracy: 0.875000
[0: 260/379] train loss: 0.733693 accuracy: 0.812500
[0: 260/379] [94mtest[39m loss: 0.344964 accuracy: 0.843750
[0: 261/379] train loss: 0.569634 accuracy: 0.812500
[0: 262/379] train loss: 0.708254 accuracy: 0.750000
[0: 263/379] train loss: 0.483841 accuracy: 0.812500
[0: 264/379] train loss: 0.566313 accuracy: 0.812500
[0: 265/379] train loss: 0.445660 accuracy: 0.937500
[0: 266/379] train loss: 0.925246 accuracy: 0.718750
[0: 267/379] train loss: 0.174128 accuracy: 0.968750
[0: 268/379] train loss: 0.580045 accuracy: 0.812500
[0: 269/379] train loss: 0.231887 accuracy: 0.937500
[0: 270/379] train loss: 0.542792 accuracy: 0.843750
[0: 270/379] [94mtest[39m loss: 0.371291 accuracy: 0.906250
[0: 271/379] train loss: 0.556735 accuracy: 0.843750
[0: 272/379] train loss: 0.429783 accuracy: 0.875000
[0: 273/379] train loss: 0.295218 accuracy: 0.906250
[0: 274/379] train loss: 0.375694 accuracy: 0.937500
[0: 275/379] train loss: 0.202616 accuracy: 0.968750
[0: 276/379] train loss: 0.791087 accuracy: 0.781250
[0: 277/379] train loss: 0.276610 accuracy: 0.937500
[0: 278/379] train loss: 0.525094 accuracy: 0.812500
[0: 279/379] train loss: 0.207187 accuracy: 0.968750
[0: 280/379] train loss: 0.268752 accuracy: 0.937500
[0: 280/379] [94mtest[39m loss: 0.323796 accuracy: 0.937500
[0: 281/379] train loss: 0.679410 accuracy: 0.812500
[0: 282/379] train loss: 0.426958 accuracy: 0.875000
[0: 283/379] train loss: 0.221560 accuracy: 0.937500
[0: 284/379] train loss: 0.262666 accuracy: 0.906250
[0: 285/379] train loss: 0.429610 accuracy: 0.906250
[0: 286/379] train loss: 0.317571 accuracy: 0.906250
[0: 287/379] train loss: 0.181369 accuracy: 0.937500
[0: 288/379] train loss: 0.351609 accuracy: 0.906250
[0: 289/379] train loss: 0.299887 accuracy: 0.875000
[0: 290/379] train loss: 0.624725 accuracy: 0.812500
[0: 290/379] [94mtest[39m loss: 0.477204 accuracy: 0.843750
[0: 291/379] train loss: 0.303475 accuracy: 0.906250
[0: 292/379] train loss: 0.544362 accuracy: 0.875000
[0: 293/379] train loss: 0.516637 accuracy: 0.843750
[0: 294/379] train loss: 0.467751 accuracy: 0.781250
[0: 295/379] train loss: 0.366452 accuracy: 0.843750
[0: 296/379] train loss: 0.378436 accuracy: 0.875000
[0: 297/379] train loss: 0.637308 accuracy: 0.875000
[0: 298/379] train loss: 0.255120 accuracy: 0.968750
[0: 299/379] train loss: 0.369945 accuracy: 0.875000
[0: 300/379] train loss: 0.827796 accuracy: 0.781250
[0: 300/379] [94mtest[39m loss: 0.442326 accuracy: 0.843750
[0: 301/379] train loss: 0.529730 accuracy: 0.843750
[0: 302/379] train loss: 0.444829 accuracy: 0.812500
[0: 303/379] train loss: 0.541543 accuracy: 0.875000
[0: 304/379] train loss: 0.558241 accuracy: 0.843750
[0: 305/379] train loss: 0.399812 accuracy: 0.937500
[0: 306/379] train loss: 0.409635 accuracy: 0.843750
[0: 307/379] train loss: 0.411558 accuracy: 0.875000
[0: 308/379] train loss: 0.263539 accuracy: 0.937500
[0: 309/379] train loss: 0.260915 accuracy: 0.937500
[0: 310/379] train loss: 0.167072 accuracy: 0.937500
[0: 310/379] [94mtest[39m loss: 0.239622 accuracy: 0.937500
[0: 311/379] train loss: 0.401765 accuracy: 0.906250
[0: 312/379] train loss: 0.661746 accuracy: 0.906250
[0: 313/379] train loss: 0.363008 accuracy: 0.937500
[0: 314/379] train loss: 0.370141 accuracy: 0.875000
[0: 315/379] train loss: 0.486823 accuracy: 0.843750
[0: 316/379] train loss: 0.878709 accuracy: 0.781250
[0: 317/379] train loss: 0.679498 accuracy: 0.781250
[0: 318/379] train loss: 0.672123 accuracy: 0.875000
[0: 319/379] train loss: 0.309027 accuracy: 0.906250
[0: 320/379] train loss: 0.141615 accuracy: 0.937500
[0: 320/379] [94mtest[39m loss: 0.297128 accuracy: 0.906250
[0: 321/379] train loss: 0.184368 accuracy: 0.937500
[0: 322/379] train loss: 0.251920 accuracy: 0.937500
[0: 323/379] train loss: 0.504918 accuracy: 0.843750
[0: 324/379] train loss: 0.331232 accuracy: 0.906250
[0: 325/379] train loss: 0.239823 accuracy: 0.937500
[0: 326/379] train loss: 0.115562 accuracy: 1.000000
[0: 327/379] train loss: 0.517617 accuracy: 0.875000
[0: 328/379] train loss: 0.702285 accuracy: 0.843750
[0: 329/379] train loss: 0.463597 accuracy: 0.843750
[0: 330/379] train loss: 0.154017 accuracy: 0.968750
[0: 330/379] [94mtest[39m loss: 0.717594 accuracy: 0.750000
[0: 331/379] train loss: 0.439121 accuracy: 0.812500
[0: 332/379] train loss: 0.319107 accuracy: 0.906250
[0: 333/379] train loss: 0.281674 accuracy: 0.875000
[0: 334/379] train loss: 0.355921 accuracy: 0.906250
[0: 335/379] train loss: 0.600741 accuracy: 0.875000
[0: 336/379] train loss: 0.137354 accuracy: 0.968750
[0: 337/379] train loss: 0.484193 accuracy: 0.937500
[0: 338/379] train loss: 0.473245 accuracy: 0.843750
[0: 339/379] train loss: 0.510498 accuracy: 0.875000
[0: 340/379] train loss: 0.227169 accuracy: 0.937500
[0: 340/379] [94mtest[39m loss: 0.318021 accuracy: 0.875000
[0: 341/379] train loss: 0.238805 accuracy: 0.937500
[0: 342/379] train loss: 0.278566 accuracy: 0.937500
[0: 343/379] train loss: 0.495530 accuracy: 0.875000
[0: 344/379] train loss: 0.180862 accuracy: 0.937500
[0: 345/379] train loss: 0.513338 accuracy: 0.843750
[0: 346/379] train loss: 0.510050 accuracy: 0.843750
[0: 347/379] train loss: 0.499913 accuracy: 0.906250
[0: 348/379] train loss: 0.149422 accuracy: 0.937500
[0: 349/379] train loss: 0.225189 accuracy: 0.937500
[0: 350/379] train loss: 0.069479 accuracy: 1.000000
[0: 350/379] [94mtest[39m loss: 0.369067 accuracy: 0.875000
[0: 351/379] train loss: 0.369641 accuracy: 0.875000
[0: 352/379] train loss: 0.711184 accuracy: 0.843750
[0: 353/379] train loss: 0.428187 accuracy: 0.875000
[0: 354/379] train loss: 0.403651 accuracy: 0.937500
[0: 355/379] train loss: 0.512683 accuracy: 0.875000
[0: 356/379] train loss: 0.461171 accuracy: 0.906250
[0: 357/379] train loss: 0.525415 accuracy: 0.843750
[0: 358/379] train loss: 0.328892 accuracy: 0.906250
[0: 359/379] train loss: 0.437919 accuracy: 0.843750
[0: 360/379] train loss: 0.141050 accuracy: 0.968750
[0: 360/379] [94mtest[39m loss: 0.314143 accuracy: 0.875000
[0: 361/379] train loss: 0.431328 accuracy: 0.875000
[0: 362/379] train loss: 0.414578 accuracy: 0.906250
[0: 363/379] train loss: 0.209061 accuracy: 0.968750
[0: 364/379] train loss: 0.378498 accuracy: 0.937500
[0: 365/379] train loss: 0.679042 accuracy: 0.750000
[0: 366/379] train loss: 0.606949 accuracy: 0.781250
[0: 367/379] train loss: 0.375768 accuracy: 0.906250
[0: 368/379] train loss: 0.269453 accuracy: 0.937500
[0: 369/379] train loss: 0.382528 accuracy: 0.875000
[0: 370/379] train loss: 0.704828 accuracy: 0.843750
[0: 370/379] [94mtest[39m loss: 0.413649 accuracy: 0.875000
[0: 371/379] train loss: 0.228365 accuracy: 0.937500
[0: 372/379] train loss: 0.238824 accuracy: 0.937500
[0: 373/379] train loss: 0.377221 accuracy: 0.781250
[0: 374/379] train loss: 0.127623 accuracy: 1.000000
[0: 375/379] train loss: 0.182136 accuracy: 0.968750
[0: 376/379] train loss: 0.463831 accuracy: 0.875000
[0: 377/379] train loss: 0.354118 accuracy: 0.875000
[0: 378/379] train loss: 0.585306 accuracy: 0.843750
[0: 379/379] train loss: 1.475584 accuracy: 0.156250
[1: 0/379] train loss: 0.539135 accuracy: 0.812500
[1: 0/379] [94mtest[39m loss: 0.371844 accuracy: 0.937500
[1: 1/379] train loss: 0.355296 accuracy: 0.906250
[1: 2/379] train loss: 0.472027 accuracy: 0.812500
[1: 3/379] train loss: 0.252928 accuracy: 0.906250
[1: 4/379] train loss: 0.203945 accuracy: 0.906250
[1: 5/379] train loss: 0.334255 accuracy: 0.875000
[1: 6/379] train loss: 0.588265 accuracy: 0.812500
[1: 7/379] train loss: 0.533686 accuracy: 0.875000
[1: 8/379] train loss: 0.590171 accuracy: 0.812500
[1: 9/379] train loss: 0.583868 accuracy: 0.781250
[1: 10/379] train loss: 0.482600 accuracy: 0.812500
[1: 10/379] [94mtest[39m loss: 0.603293 accuracy: 0.843750
[1: 11/379] train loss: 0.237082 accuracy: 0.937500
[1: 12/379] train loss: 1.447703 accuracy: 0.687500
[1: 13/379] train loss: 0.303428 accuracy: 0.968750
[1: 14/379] train loss: 0.646950 accuracy: 0.843750
[1: 15/379] train loss: 0.307308 accuracy: 0.968750
[1: 16/379] train loss: 0.457190 accuracy: 0.875000
[1: 17/379] train loss: 0.504845 accuracy: 0.875000
[1: 18/379] train loss: 0.308213 accuracy: 0.875000
[1: 19/379] train loss: 0.461878 accuracy: 0.812500
[1: 20/379] train loss: 0.768104 accuracy: 0.750000
[1: 20/379] [94mtest[39m loss: 0.358913 accuracy: 0.875000
[1: 21/379] train loss: 0.536261 accuracy: 0.843750
[1: 22/379] train loss: 0.344153 accuracy: 0.875000
[1: 23/379] train loss: 0.353986 accuracy: 0.906250
[1: 24/379] train loss: 0.199130 accuracy: 0.937500
[1: 25/379] train loss: 0.338441 accuracy: 0.906250
[1: 26/379] train loss: 0.162834 accuracy: 0.968750
[1: 27/379] train loss: 0.571251 accuracy: 0.843750
[1: 28/379] train loss: 0.472556 accuracy: 0.875000
[1: 29/379] train loss: 0.204161 accuracy: 0.937500
[1: 30/379] train loss: 0.239826 accuracy: 0.937500
[1: 30/379] [94mtest[39m loss: 0.386732 accuracy: 0.906250
[1: 31/379] train loss: 0.728523 accuracy: 0.781250
[1: 32/379] train loss: 0.434233 accuracy: 0.843750
[1: 33/379] train loss: 0.126512 accuracy: 1.000000
[1: 34/379] train loss: 0.514032 accuracy: 0.781250
